age,job,marital,education,default,balance,housing,loan,duration,previous,poutcome,Y,y
48,management,married,secondary,no,161,yes,no,224,0,unknown,no,0
31,admin.,single,secondary,no,98,yes,no,196,0,unknown,no,0
47,technician,married,tertiary,no,831,yes,no,316,0,unknown,no,0
58,management,single,tertiary,no,1387,yes,no,174,0,unknown,no,0
51,admin.,single,secondary,yes,-2,no,no,402,0,unknown,no,0
41,blue-collar,single,secondary,no,842,yes,no,144,0,unknown,no,0
46,management,single,tertiary,no,187,yes,no,113,0,unknown,no,0
31,admin.,single,secondary,no,12,yes,no,208,0,unknown,no,0
44,blue-collar,single,secondary,no,34,yes,no,404,0,unknown,no,0
59,admin.,married,secondary,no,230,yes,no,190,0,unknown,no,0
46,technician,married,tertiary,no,841,yes,no,158,0,unknown,no,0
34,services,married,secondary,no,22,yes,no,344,0,unknown,no,0
38,blue-collar,married,secondary,no,20,yes,no,402,0,unknown,no,0
57,technician,married,unknown,no,345,yes,no,125,0,unknown,no,0
38,admin.,married,secondary,no,1,no,no,76,0,unknown,no,0
34,blue-collar,married,secondary,no,283,no,yes,199,0,unknown,no,0
47,blue-collar,married,primary,no,206,yes,no,152,0,unknown,no,0
48,technician,married,secondary,no,141,yes,yes,424,0,unknown,no,0
50,services,married,secondary,no,206,yes,no,154,0,unknown,no,0
50,management,married,tertiary,no,0,no,no,326,0,unknown,no,0
34,admin.,divorced,secondary,no,67,yes,no,90,0,unknown,no,0
32,blue-collar,married,secondary,no,320,yes,no,198,0,unknown,no,0
34,technician,single,tertiary,no,242,yes,no,112,0,unknown,no,0
40,services,married,secondary,no,71,no,no,79,0,unknown,no,0
46,management,divorced,unknown,no,2,yes,no,187,0,unknown,no,0
50,blue-collar,married,primary,no,71,yes,no,678,0,unknown,no,0
39,housemaid,single,primary,no,109,yes,no,699,0,unknown,no,0
39,management,single,secondary,no,1877,yes,no,185,0,unknown,no,0
43,blue-collar,married,secondary,no,0,no,no,187,0,unknown,no,0
36,blue-collar,married,secondary,no,0,yes,no,337,0,unknown,no,0
39,admin.,single,secondary,no,0,yes,no,174,0,unknown,no,0
32,technician,single,unknown,no,-170,no,no,46,0,unknown,no,0
45,blue-collar,married,primary,no,1297,yes,no,233,0,unknown,no,0
31,technician,married,secondary,no,17,yes,yes,120,0,unknown,no,0
42,management,married,tertiary,no,744,no,no,157,0,unknown,no,0
43,blue-collar,married,secondary,no,1335,yes,no,371,0,unknown,no,0
40,management,single,tertiary,no,3877,yes,no,145,0,unknown,no,0
46,blue-collar,married,secondary,no,71,yes,no,416,0,unknown,no,0
40,unemployed,single,secondary,no,11,yes,no,43,0,unknown,no,0
59,blue-collar,divorced,unknown,no,124,yes,no,26,0,unknown,no,0
45,blue-collar,married,secondary,no,82,yes,no,250,0,unknown,no,0
36,self-employed,married,tertiary,no,107,yes,no,146,0,unknown,no,0
39,blue-collar,divorced,unknown,no,170,yes,no,268,0,unknown,no,0
46,unemployed,married,secondary,no,-125,yes,no,23,0,unknown,no,0
34,blue-collar,married,secondary,no,0,no,no,195,0,unknown,no,0
46,services,married,secondary,no,216,yes,no,524,0,unknown,no,0
56,technician,divorced,secondary,no,99,yes,no,155,0,unknown,no,0
55,blue-collar,married,secondary,no,840,yes,no,310,0,unknown,no,0
36,technician,single,secondary,no,-15,yes,no,341,0,unknown,no,0
31,self-employed,married,secondary,no,0,yes,no,36,0,unknown,no,0
37,services,single,unknown,no,-118,yes,no,147,0,unknown,no,0
56,blue-collar,married,primary,no,5,yes,yes,407,0,unknown,no,0
49,technician,married,unknown,no,15,no,no,92,0,unknown,no,0
59,retired,married,primary,no,-119,yes,no,289,0,unknown,no,0
54,technician,divorced,secondary,no,21,yes,no,381,0,unknown,no,0
56,admin.,divorced,unknown,no,4246,yes,no,304,0,unknown,no,0
33,services,married,tertiary,no,85,no,no,262,0,unknown,no,0
33,blue-collar,married,primary,no,332,yes,no,116,0,unknown,no,0
31,student,single,secondary,no,252,yes,no,175,0,unknown,no,0
33,blue-collar,married,secondary,no,-349,yes,no,191,0,unknown,no,0
34,blue-collar,married,secondary,no,848,yes,no,684,0,unknown,no,0
37,blue-collar,married,primary,no,215,yes,yes,308,0,unknown,no,0
44,entrepreneur,married,tertiary,no,1631,yes,no,346,0,unknown,no,0
40,admin.,married,secondary,no,6,yes,no,60,0,unknown,no,0
57,management,married,tertiary,no,2142,yes,no,251,0,unknown,no,0
54,technician,divorced,secondary,no,83,yes,no,190,0,unknown,no,0
47,entrepreneur,married,unknown,no,209,yes,no,135,0,unknown,no,0
42,technician,married,tertiary,no,239,yes,yes,191,0,unknown,no,0
29,student,single,secondary,no,110,yes,no,169,0,unknown,no,0
42,blue-collar,married,secondary,no,166,yes,no,285,0,unknown,no,0
47,blue-collar,married,secondary,no,1001,yes,no,201,0,unknown,no,0
46,self-employed,married,tertiary,no,2303,yes,no,241,0,unknown,no,0
34,services,married,secondary,no,205,yes,no,312,0,unknown,no,0
45,blue-collar,married,primary,no,97,yes,no,923,0,unknown,no,0
33,services,married,secondary,no,404,yes,no,139,0,unknown,no,0
34,management,single,tertiary,no,872,yes,no,105,0,unknown,no,0
31,blue-collar,single,secondary,no,1415,yes,no,485,0,unknown,no,0
37,admin.,single,secondary,no,245,yes,yes,732,0,unknown,yes,1
40,management,single,tertiary,no,1265,yes,no,97,0,unknown,no,0
31,admin.,single,secondary,no,299,yes,no,492,0,unknown,no,0
55,management,divorced,tertiary,no,552,no,no,241,0,unknown,no,0
38,admin.,married,secondary,no,8,yes,no,125,0,unknown,no,0
47,management,divorced,tertiary,no,447,no,yes,126,0,unknown,no,0
31,services,married,tertiary,no,309,yes,yes,294,0,unknown,no,0
44,blue-collar,married,primary,no,143,yes,no,153,0,unknown,no,0
38,admin.,single,secondary,no,100,yes,no,786,0,unknown,yes,1
47,admin.,married,primary,no,192,yes,no,47,0,unknown,no,0
50,blue-collar,married,primary,no,377,yes,no,221,0,unknown,no,0
44,retired,married,secondary,no,7624,no,no,126,0,unknown,no,0
57,self-employed,married,primary,no,1013,yes,no,448,0,unknown,no,0
40,services,single,tertiary,no,8823,yes,no,378,0,unknown,no,0
52,blue-collar,married,secondary,no,-98,yes,no,423,0,unknown,no,0
33,admin.,married,secondary,no,44,yes,yes,231,0,unknown,no,0
35,services,married,secondary,no,528,no,no,274,0,unknown,no,0
35,technician,single,secondary,no,1855,yes,no,138,0,unknown,no,0
51,technician,married,secondary,no,220,yes,no,421,0,unknown,no,0
28,blue-collar,married,secondary,no,225,yes,yes,866,0,unknown,no,0
57,retired,married,secondary,no,502,yes,no,229,0,unknown,no,0
38,services,married,secondary,no,-32,yes,no,154,0,unknown,no,0
36,technician,married,tertiary,no,301,yes,no,1581,0,unknown,no,0
47,blue-collar,married,primary,no,550,yes,no,113,0,unknown,no,0
46,admin.,divorced,secondary,no,207,yes,no,485,0,unknown,no,0
38,technician,married,secondary,no,0,no,no,55,0,unknown,no,0
49,services,married,secondary,no,1377,yes,no,1101,0,unknown,no,0
50,technician,married,secondary,no,73,no,no,93,0,unknown,no,0
34,blue-collar,married,secondary,no,2308,yes,no,1062,0,unknown,no,0
36,entrepreneur,married,tertiary,no,1722,yes,no,349,0,unknown,no,0
41,blue-collar,married,secondary,no,108,yes,yes,203,0,unknown,no,0
44,services,divorced,secondary,no,7,yes,yes,238,0,unknown,no,0
32,technician,married,secondary,no,186,no,no,418,0,unknown,no,0
42,admin.,divorced,secondary,no,0,yes,no,229,0,unknown,no,0
41,blue-collar,married,secondary,no,-15,yes,no,169,0,unknown,no,0
46,blue-collar,married,primary,no,323,yes,no,108,0,unknown,no,0
58,technician,married,secondary,no,786,yes,no,165,0,unknown,no,0
30,technician,divorced,tertiary,no,-317,yes,no,381,0,unknown,no,0
29,services,single,secondary,no,-158,yes,no,128,0,unknown,no,0
29,unknown,single,primary,no,50,yes,no,50,0,unknown,no,0
38,blue-collar,married,secondary,no,22,yes,yes,353,0,unknown,no,0
33,management,single,tertiary,no,76,yes,no,256,0,unknown,no,0
46,blue-collar,single,secondary,no,76,yes,no,245,0,unknown,no,0
47,blue-collar,married,primary,no,117,yes,no,113,0,unknown,no,0
44,blue-collar,single,secondary,no,-212,yes,yes,103,0,unknown,no,0
43,admin.,married,tertiary,no,1924,yes,no,244,0,unknown,no,0
43,blue-collar,married,primary,no,487,yes,no,548,0,unknown,no,0
49,blue-collar,married,unknown,no,51,yes,no,984,0,unknown,no,0
44,blue-collar,married,secondary,no,1,yes,no,281,0,unknown,no,0
28,blue-collar,married,primary,no,-55,yes,no,361,0,unknown,no,0
46,blue-collar,single,tertiary,no,460,yes,no,1102,0,unknown,yes,1
48,technician,married,secondary,no,720,yes,no,177,0,unknown,no,0
31,technician,single,tertiary,no,703,yes,no,943,0,unknown,yes,1
39,blue-collar,married,primary,no,70,no,no,813,0,unknown,yes,1
42,blue-collar,married,primary,no,271,yes,no,84,0,unknown,no,0
38,blue-collar,married,primary,no,54,yes,no,180,0,unknown,no,0
41,entrepreneur,divorced,tertiary,no,-413,yes,no,170,0,unknown,no,0
35,management,divorced,tertiary,no,3837,yes,no,1084,0,unknown,yes,1
51,management,married,primary,yes,57,yes,yes,61,0,unknown,no,0
32,blue-collar,single,primary,no,611,yes,no,541,0,unknown,yes,1
32,blue-collar,single,secondary,no,5,yes,yes,134,0,unknown,no,0
38,management,married,secondary,no,65,yes,no,56,0,unknown,no,0
27,student,single,secondary,no,81,yes,no,238,0,unknown,no,0
53,unemployed,married,secondary,no,582,yes,no,96,0,unknown,no,0
48,technician,divorced,secondary,no,177,yes,no,471,0,unknown,no,0
29,blue-collar,married,secondary,no,5903,yes,no,194,0,unknown,no,0
42,blue-collar,single,primary,no,134,yes,yes,82,0,unknown,no,0
26,blue-collar,single,primary,no,318,yes,no,101,0,unknown,no,0
35,technician,single,secondary,no,2151,yes,no,294,0,unknown,no,0
34,management,married,tertiary,no,0,yes,no,214,0,unknown,no,0
60,retired,married,primary,no,-2,yes,no,75,0,unknown,no,0
32,technician,single,secondary,no,10,yes,no,107,0,unknown,no,0
48,blue-collar,married,primary,no,4,yes,no,198,0,unknown,no,0
30,management,single,tertiary,no,5956,yes,no,255,0,unknown,no,0
32,blue-collar,married,secondary,no,715,yes,no,108,0,unknown,no,0
36,technician,single,secondary,no,1832,yes,no,154,0,unknown,no,0
46,services,married,secondary,no,397,no,no,93,0,unknown,no,0
24,technician,single,tertiary,no,777,yes,no,131,0,unknown,no,0
55,unemployed,single,tertiary,no,1513,yes,no,60,0,unknown,no,0
32,management,single,tertiary,no,751,yes,no,64,0,unknown,no,0
51,blue-collar,married,unknown,no,125,yes,no,102,0,unknown,no,0
36,blue-collar,married,secondary,no,0,no,no,338,0,unknown,no,0
49,technician,married,primary,no,230,yes,no,96,0,unknown,no,0
42,blue-collar,divorced,secondary,no,47,yes,yes,141,0,unknown,no,0
33,entrepreneur,married,secondary,no,0,yes,yes,982,0,unknown,no,0
34,blue-collar,single,secondary,no,341,yes,no,195,0,unknown,no,0
31,blue-collar,married,secondary,no,335,yes,no,226,0,unknown,no,0
48,blue-collar,married,primary,no,448,yes,no,189,0,unknown,no,0
34,technician,single,tertiary,no,301,yes,no,205,0,unknown,no,0
28,management,single,tertiary,no,150,yes,no,491,0,unknown,no,0
39,blue-collar,single,secondary,no,82,yes,no,147,0,unknown,no,0
44,services,divorced,secondary,no,240,yes,no,155,0,unknown,no,0
42,management,married,tertiary,no,6,yes,no,103,0,unknown,no,0
30,technician,single,tertiary,no,178,yes,no,234,0,unknown,no,0
39,management,single,tertiary,no,375,yes,no,66,0,unknown,no,0
35,blue-collar,single,secondary,no,907,yes,yes,242,0,unknown,no,0
48,admin.,divorced,secondary,no,267,no,no,266,0,unknown,no,0
58,self-employed,divorced,secondary,no,613,yes,no,154,0,unknown,no,0
37,blue-collar,married,secondary,no,121,yes,no,617,0,unknown,no,0
57,blue-collar,divorced,primary,no,-176,yes,no,275,0,unknown,no,0
43,services,single,unknown,no,193,yes,no,74,0,unknown,no,0
34,management,married,tertiary,no,76,no,no,335,0,unknown,no,0
34,blue-collar,married,secondary,no,103,yes,yes,956,0,unknown,no,0
40,blue-collar,single,secondary,no,879,yes,yes,248,0,unknown,no,0
33,blue-collar,single,secondary,no,56,yes,no,112,0,unknown,no,0
36,technician,married,secondary,no,195,yes,no,380,0,unknown,no,0
50,blue-collar,married,primary,no,749,no,no,297,0,unknown,no,0
53,blue-collar,married,secondary,no,359,no,yes,238,0,unknown,no,0
37,blue-collar,married,primary,no,496,yes,no,137,0,unknown,no,0
43,management,divorced,tertiary,no,0,yes,no,123,0,unknown,no,0
44,management,divorced,tertiary,no,3932,yes,no,40,0,unknown,no,0
53,self-employed,married,secondary,no,468,yes,no,89,0,unknown,no,0
51,blue-collar,married,primary,no,202,yes,no,200,0,unknown,no,0
44,blue-collar,married,secondary,no,138,yes,no,283,0,unknown,no,0
36,blue-collar,married,secondary,no,406,yes,no,826,0,unknown,no,0
33,admin.,married,secondary,no,4012,no,yes,337,0,unknown,no,0
26,management,single,tertiary,no,498,yes,no,99,0,unknown,no,0
35,management,married,tertiary,yes,89,no,yes,166,0,unknown,no,0
53,blue-collar,divorced,secondary,no,145,yes,no,193,0,unknown,no,0
36,technician,married,tertiary,no,491,yes,no,103,0,unknown,no,0
35,management,married,tertiary,no,820,yes,no,287,0,unknown,no,0
33,services,married,secondary,no,310,yes,no,172,0,unknown,no,0
32,admin.,single,tertiary,no,490,yes,no,94,0,unknown,no,0
56,technician,single,primary,no,230,yes,no,122,0,unknown,no,0
52,self-employed,single,tertiary,no,458,yes,yes,132,0,unknown,no,0
35,technician,married,secondary,no,19,yes,no,130,0,unknown,no,0
42,management,divorced,secondary,no,117,yes,no,105,0,unknown,no,0
51,blue-collar,single,primary,no,368,yes,no,205,0,unknown,no,0
49,blue-collar,married,primary,no,186,yes,no,241,0,unknown,no,0
31,blue-collar,married,primary,no,3007,yes,no,283,0,unknown,no,0
35,blue-collar,married,secondary,no,503,yes,yes,57,0,unknown,no,0
51,blue-collar,married,secondary,no,-286,yes,no,70,0,unknown,no,0
37,blue-collar,married,secondary,no,190,yes,no,83,0,unknown,no,0
33,blue-collar,married,primary,no,120,yes,no,250,0,unknown,no,0
25,admin.,single,secondary,no,131,yes,yes,237,0,unknown,no,0
31,admin.,married,secondary,no,307,yes,no,538,0,unknown,yes,1
59,blue-collar,married,secondary,no,1407,yes,no,232,0,unknown,no,0
37,services,single,secondary,no,253,yes,yes,280,0,unknown,no,0
46,blue-collar,married,secondary,no,-3,yes,no,92,0,unknown,no,0
32,self-employed,single,secondary,no,123,yes,no,278,0,unknown,no,0
43,management,divorced,tertiary,no,443,yes,no,219,0,unknown,no,0
30,blue-collar,married,secondary,no,-2,yes,no,136,0,unknown,no,0
29,admin.,divorced,secondary,no,0,no,no,393,0,unknown,no,0
39,blue-collar,single,secondary,no,217,yes,no,107,0,unknown,no,0
28,technician,single,tertiary,no,2269,yes,no,331,0,unknown,no,0
31,unemployed,married,primary,no,213,yes,no,479,0,unknown,no,0
37,blue-collar,married,secondary,no,934,no,no,258,0,unknown,no,0
23,student,single,secondary,no,318,yes,no,545,0,unknown,no,0
32,admin.,single,secondary,no,-227,yes,yes,646,0,unknown,no,0
37,technician,divorced,secondary,no,1981,yes,no,106,0,unknown,no,0
36,blue-collar,divorced,unknown,no,0,yes,no,377,0,unknown,no,0
35,blue-collar,married,primary,no,198,yes,no,471,0,unknown,no,0
32,management,married,tertiary,no,0,no,no,280,0,unknown,no,0
30,blue-collar,single,primary,no,383,yes,no,135,0,unknown,no,0
30,management,single,tertiary,no,1108,yes,yes,261,0,unknown,no,0
60,technician,married,primary,no,65,yes,no,1028,0,unknown,yes,1
26,management,single,tertiary,no,1326,yes,no,70,0,unknown,no,0
33,blue-collar,single,secondary,no,33,yes,no,557,0,unknown,no,0
34,blue-collar,married,secondary,yes,-331,yes,yes,342,0,unknown,no,0
23,student,single,secondary,no,151,yes,no,97,0,unknown,no,0
27,blue-collar,single,secondary,no,45,yes,no,352,0,unknown,no,0
40,technician,single,secondary,no,360,yes,no,73,0,unknown,no,0
26,technician,single,secondary,no,57,yes,no,404,0,unknown,no,0
43,blue-collar,married,primary,no,336,yes,no,256,0,unknown,no,0
53,blue-collar,married,secondary,no,-135,yes,no,193,0,unknown,no,0
36,blue-collar,married,secondary,no,590,yes,no,282,0,unknown,no,0
33,blue-collar,single,primary,no,92,yes,no,127,0,unknown,no,0
35,management,married,tertiary,no,1510,yes,no,61,0,unknown,no,0
29,technician,single,tertiary,no,542,yes,no,338,0,unknown,no,0
43,management,married,secondary,no,3,yes,no,204,0,unknown,no,0
35,technician,single,secondary,no,300,yes,no,338,0,unknown,no,0
49,blue-collar,married,primary,no,352,yes,no,188,0,unknown,no,0
38,entrepreneur,single,tertiary,no,638,yes,no,150,0,unknown,no,0
26,technician,married,secondary,no,47,yes,no,282,0,unknown,no,0
43,technician,single,secondary,no,336,yes,no,181,0,unknown,no,0
31,management,single,tertiary,no,0,yes,no,94,0,unknown,no,0
27,services,single,secondary,no,683,yes,no,44,0,unknown,no,0
59,blue-collar,married,secondary,no,1376,no,yes,61,0,unknown,no,0
29,blue-collar,single,secondary,no,853,yes,no,177,0,unknown,no,0
50,blue-collar,divorced,primary,no,31,yes,no,237,0,unknown,no,0
57,blue-collar,married,secondary,no,221,yes,no,122,0,unknown,no,0
30,services,married,secondary,no,152,yes,no,115,0,unknown,no,0
56,admin.,divorced,secondary,yes,-435,yes,yes,185,0,unknown,no,0
33,blue-collar,single,primary,no,447,yes,no,180,0,unknown,no,0
37,management,single,tertiary,no,493,yes,no,328,0,unknown,no,0
48,unemployed,married,primary,no,296,yes,no,164,0,unknown,no,0
33,technician,married,secondary,no,0,yes,yes,173,0,unknown,no,0
40,services,married,secondary,no,69,yes,no,143,0,unknown,no,0
57,unknown,married,unknown,no,106,no,no,836,0,unknown,no,0
44,unemployed,married,secondary,no,304,yes,no,129,0,unknown,no,0
25,blue-collar,single,secondary,no,249,yes,no,149,0,unknown,no,0
59,retired,divorced,primary,no,121,yes,no,144,0,unknown,no,0
37,management,married,tertiary,no,0,yes,no,346,0,unknown,no,0
60,blue-collar,married,unknown,no,231,yes,no,57,0,unknown,no,0
25,technician,single,secondary,no,1135,yes,no,396,0,unknown,no,0
37,blue-collar,married,secondary,no,194,yes,no,566,0,unknown,no,0
26,management,divorced,tertiary,yes,-402,no,yes,127,0,unknown,no,0
55,services,single,secondary,no,-40,yes,no,178,0,unknown,no,0
40,blue-collar,divorced,primary,no,737,yes,yes,102,0,unknown,no,0
48,blue-collar,divorced,secondary,no,602,yes,no,231,0,unknown,no,0
43,self-employed,single,secondary,no,798,yes,no,217,0,unknown,no,0
31,entrepreneur,single,tertiary,yes,37,yes,no,281,0,unknown,no,0
41,self-employed,married,secondary,no,304,yes,no,1147,0,unknown,no,0
28,technician,single,tertiary,no,-214,yes,no,140,0,unknown,no,0
37,technician,married,secondary,no,183,yes,no,194,0,unknown,no,0
27,blue-collar,single,secondary,no,3675,no,no,101,0,unknown,no,0
39,blue-collar,single,primary,no,446,yes,no,183,0,unknown,no,0
31,blue-collar,married,secondary,no,297,yes,no,480,0,unknown,no,0
33,technician,single,secondary,no,14,yes,no,188,0,unknown,no,0
56,retired,married,primary,no,13,yes,no,123,0,unknown,no,0
48,technician,divorced,secondary,no,164,yes,no,139,0,unknown,no,0
31,blue-collar,single,primary,no,985,yes,no,178,0,unknown,no,0
24,blue-collar,married,secondary,no,237,yes,no,200,0,unknown,no,0
40,management,single,unknown,no,838,yes,no,619,0,unknown,no,0
29,admin.,married,primary,no,624,yes,no,246,0,unknown,no,0
44,blue-collar,married,secondary,no,236,yes,no,596,0,unknown,no,0
30,blue-collar,single,secondary,no,573,yes,no,116,0,unknown,no,0
42,management,married,secondary,no,-189,yes,no,247,0,unknown,no,0
52,admin.,divorced,secondary,no,944,yes,no,198,0,unknown,no,0
35,management,divorced,tertiary,no,538,yes,no,66,0,unknown,no,0
44,blue-collar,married,secondary,no,78,yes,no,253,0,unknown,no,0
38,management,married,tertiary,no,762,yes,no,163,0,unknown,no,0
31,blue-collar,married,secondary,no,286,yes,yes,260,0,unknown,no,0
46,entrepreneur,married,tertiary,no,-43,no,no,138,0,unknown,no,0
46,services,married,secondary,no,1474,yes,no,148,0,unknown,no,0
33,management,single,tertiary,no,239,no,no,65,0,unknown,no,0
53,blue-collar,married,primary,no,6386,yes,no,170,0,unknown,no,0
31,services,married,secondary,no,520,yes,no,123,0,unknown,no,0
46,blue-collar,married,primary,no,0,yes,no,51,0,unknown,no,0
31,admin.,single,secondary,no,98,yes,yes,159,0,unknown,no,0
35,technician,married,tertiary,no,1473,yes,no,84,0,unknown,no,0
25,admin.,single,secondary,no,1,yes,yes,24,0,unknown,no,0
55,blue-collar,married,primary,no,431,yes,no,68,0,unknown,no,0
30,self-employed,married,tertiary,no,227,yes,yes,227,0,unknown,no,0
36,blue-collar,married,secondary,no,1554,yes,no,325,0,unknown,no,0
48,blue-collar,married,primary,no,762,yes,no,81,0,unknown,no,0
22,blue-collar,single,primary,no,-168,yes,no,160,0,unknown,no,0
37,blue-collar,divorced,secondary,no,178,yes,no,71,0,unknown,no,0
26,entrepreneur,single,secondary,no,101,yes,no,723,0,unknown,no,0
28,technician,single,secondary,no,216,yes,no,66,0,unknown,no,0
32,technician,married,primary,no,62,yes,yes,120,0,unknown,no,0
31,technician,single,tertiary,no,279,yes,no,198,0,unknown,no,0
30,blue-collar,married,secondary,no,173,yes,no,217,0,unknown,no,0
20,services,single,secondary,no,-103,yes,no,180,0,unknown,no,0
31,admin.,divorced,secondary,no,253,yes,no,289,0,unknown,no,0
21,blue-collar,single,secondary,no,614,yes,no,243,0,unknown,no,0
23,blue-collar,single,primary,no,2594,yes,no,193,0,unknown,no,0
40,blue-collar,married,primary,no,-166,yes,no,136,0,unknown,no,0
31,self-employed,married,secondary,no,263,yes,no,150,0,unknown,no,0
49,self-employed,married,tertiary,no,2199,yes,no,98,0,unknown,no,0
46,blue-collar,married,secondary,no,1934,yes,no,20,0,unknown,no,0
59,retired,married,primary,no,5521,yes,yes,94,0,unknown,no,0
50,blue-collar,married,secondary,no,160,yes,no,334,0,unknown,no,0
26,blue-collar,single,secondary,no,-204,yes,no,609,0,unknown,no,0
42,management,married,tertiary,no,1823,yes,no,31,0,unknown,no,0
41,services,married,secondary,no,-111,yes,no,21,0,unknown,no,0
30,blue-collar,married,secondary,no,-166,yes,yes,255,0,unknown,no,0
54,retired,married,primary,no,0,yes,no,106,0,unknown,no,0
36,management,married,tertiary,no,125,yes,no,355,0,unknown,no,0
37,blue-collar,divorced,secondary,no,368,yes,no,194,0,unknown,no,0
57,management,married,secondary,no,1026,yes,no,52,0,unknown,no,0
26,technician,married,tertiary,no,8,yes,yes,262,0,unknown,no,0
31,admin.,single,secondary,no,150,yes,yes,431,0,unknown,no,0
35,services,married,secondary,no,-371,yes,no,358,0,unknown,no,0
50,unemployed,married,secondary,no,3478,yes,no,342,0,unknown,no,0
47,blue-collar,married,primary,no,113,yes,no,276,0,unknown,no,0
41,management,married,tertiary,no,0,yes,no,161,0,unknown,no,0
51,technician,married,secondary,no,12061,yes,no,332,0,unknown,no,0
44,admin.,married,secondary,no,1423,yes,no,162,0,unknown,no,0
35,technician,married,secondary,no,304,yes,no,3,0,unknown,no,0
59,retired,divorced,primary,no,643,yes,no,354,0,unknown,no,0
38,admin.,single,unknown,no,446,yes,no,386,0,unknown,no,0
53,admin.,divorced,secondary,no,887,yes,no,169,0,unknown,no,0
43,blue-collar,married,primary,no,17,yes,no,119,0,unknown,no,0
38,admin.,married,secondary,no,607,yes,no,315,0,unknown,no,0
35,technician,divorced,secondary,no,556,yes,no,214,0,unknown,no,0
47,technician,married,secondary,no,449,yes,yes,92,0,unknown,no,0
55,management,married,secondary,no,0,yes,no,309,0,unknown,no,0
53,blue-collar,divorced,primary,no,2477,yes,no,175,0,unknown,no,0
28,blue-collar,married,primary,no,15,yes,no,87,0,unknown,no,0
49,housemaid,divorced,primary,no,198,yes,no,205,0,unknown,no,0
43,admin.,married,primary,no,15,yes,no,304,0,unknown,no,0
38,blue-collar,married,primary,no,0,no,no,209,0,unknown,no,0
41,services,married,secondary,no,108,yes,yes,83,0,unknown,no,0
44,blue-collar,married,primary,no,617,yes,no,227,0,unknown,no,0
24,blue-collar,married,secondary,no,32,no,no,264,0,unknown,no,0
57,blue-collar,married,primary,no,1352,yes,no,104,0,unknown,no,0
46,admin.,married,secondary,no,120,yes,no,20,0,unknown,no,0
39,entrepreneur,married,secondary,no,580,yes,no,323,0,unknown,no,0
52,technician,married,secondary,no,0,no,no,97,0,unknown,no,0
55,blue-collar,divorced,secondary,no,7378,no,no,316,0,unknown,no,0
39,technician,married,secondary,yes,-183,yes,no,202,0,unknown,no,0
40,blue-collar,married,secondary,no,30,yes,no,168,0,unknown,no,0
